"","yearmonth","quarter","year","city","female1","female2","female3","female4","female5","female6","female7","female8","totalfemale","male1","male2","male3","male4","male5","male6","male7","male8","totalmale","totalcitypop"
"175","2016-12",4,2016,"Egtved",36,24,143,63,161,363,236,147,1173,28,40,160,83,163,382,213,79,1148,2321
"176","2016-12",4,2016,"Gadbjerg",20,15,65,22,53,125,50,26,376,14,20,48,23,79,133,64,20,401,777
"177","2016-12",4,2016,"Give",56,71,289,162,333,767,474,247,2399,69,65,302,229,322,734,383,144,2248,4647
"178","2016-12",4,2016,"Givskud",7,14,28,32,44,95,52,20,292,12,13,38,23,54,108,55,14,317,609
"179","2016-12",4,2016,"Gravens/Ågård",17,16,93,45,82,233,96,40,622,12,20,132,61,89,241,102,21,678,1300
"180","2016-12",4,2016,"Grejs",17,22,101,41,79,187,80,16,543,21,22,118,47,74,176,64,17,539,1082
"181","2016-12",4,2016,"Gårslev",16,19,70,43,83,184,97,21,533,16,24,93,31,78,188,102,19,551,1084
"182","2016-12",4,2016,"Jelling",43,60,284,159,264,571,272,123,1776,49,64,292,179,217,576,222,69,1668,3444
"183","2016-12",4,2016,"Jerlev",13,12,56,28,49,124,58,9,349,12,16,45,33,51,120,57,7,341,690
"184","2016-12",4,2016,"Ny Højen",10,9,60,21,45,126,54,12,337,9,15,52,37,51,118,66,5,353,690
"185","2016-12",4,2016,"Nørup",6,16,50,35,57,122,55,22,363,13,19,46,37,64,114,67,9,369,732
"186","2016-12",4,2016,"Skibet",32,39,202,76,137,379,154,21,1040,28,36,225,79,116,364,146,21,1015,2055
"187","2016-12",4,2016,"Skærup",9,12,35,17,40,94,46,3,256,10,7,31,17,38,91,51,1,246,502
"188","2016-12",4,2016,"Smidstrup",7,12,67,25,74,129,34,38,386,17,11,81,26,79,137,42,13,406,792
"189","2016-12",4,2016,"Thyregod",22,28,107,55,111,221,88,45,677,19,24,106,57,134,236,89,28,693,1370
"190","2016-12",4,2016,"Vandel",10,15,62,31,64,131,52,17,382,15,14,56,35,70,141,62,12,405,787
"191","2016-12",4,2016,"Vonge",13,8,40,28,55,99,42,13,298,13,5,25,29,66,111,43,6,298,596
"192","2016-12",4,2016,"Ødsted",23,30,112,54,129,242,110,26,726,31,35,121,59,111,257,96,21,731,1457
"193","2017-03",1,2017,"Vejle",937,884,3483,3028,5307,9114,4243,1617,28613,995,951,3619,3141,5647,8818,3636,944,27751,56364
"194","2017-03",1,2017,"Andkær",5,5,21,7,30,64,12,2,146,6,5,32,10,27,67,19,3,169,315
"195","2017-03",1,2017,"Bredal",16,15,66,14,58,109,33,8,319,5,15,70,27,47,130,27,3,324,643
"196","2017-03",1,2017,"Bredsten",28,20,156,53,119,281,118,63,838,10,29,167,74,95,281,122,34,812,1650
"197","2017-03",1,2017,"Brejning",44,43,204,116,219,544,226,44,1440,59,51,243,121,209,540,247,42,1512,2952
"198","2017-03",1,2017,"Børkop",107,102,471,182,477,874,411,128,2752,116,158,512,191,430,846,337,87,2677,5429
"199","2017-03",1,2017,"Egtved",37,24,143,64,162,362,232,147,1171,29,40,157,86,164,388,213,76,1153,2324
"200","2017-03",1,2017,"Gadbjerg",18,16,65,21,52,124,50,26,372,19,16,51,28,76,133,64,21,408,780
